neg: 0.08, neu: 0.92, pos: 0.0, -0.4215, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.0, neu: 0.417, pos: 0.583, 0.4215, 
neg: 0.136, neu: 0.864, pos: 0.0, -0.296, 
neg: 0.078, neu: 0.922, pos: 0.0, -0.6124, 
neg: 0.161, neu: 0.769, pos: 0.07, -0.4019, 
neg: 0.0, neu: 0.805, pos: 0.195, 0.4404, 
neg: 0.074, neu: 0.842, pos: 0.084, 0.1027, 
neg: 0.089, neu: 0.818, pos: 0.093, 0.0516, 
neg: 0.121, neu: 0.83, pos: 0.049, -0.7096, 
neg: 0.082, neu: 0.852, pos: 0.066, -0.128, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.131, neu: 0.759, pos: 0.11, -0.1531, 
neg: 0.178, neu: 0.698, pos: 0.124, -0.4019, 
neg: 0.055, neu: 0.903, pos: 0.043, -0.128, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.0, neu: 0.913, pos: 0.087, 0.2584, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.0, neu: 0.853, pos: 0.147, 0.765, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.257, neu: 0.743, pos: 0.0, -0.7845, 
neg: 0.0, neu: 0.824, pos: 0.176, 0.6369, 
neg: 0.0, neu: 0.925, pos: 0.075, 0.2732, 
neg: 0.076, neu: 0.817, pos: 0.107, 0.0258, 
neg: 0.065, neu: 0.743, pos: 0.192, 0.6486, 
neg: 0.088, neu: 0.912, pos: 0.0, -0.3612, 
neg: 0.043, neu: 0.957, pos: 0.0, -0.1655, 
neg: 0.067, neu: 0.842, pos: 0.091, 0.1779, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.061, neu: 0.939, pos: 0.0, -0.34, 
neg: 0.096, neu: 0.868, pos: 0.035, -0.4404, 
neg: 0.046, neu: 0.873, pos: 0.08, 0.2263, 
neg: 0.0, neu: 0.905, pos: 0.095, 0.2716, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.198, neu: 0.802, pos: 0.0, -0.5356, 
neg: 0.139, neu: 0.735, pos: 0.126, -0.128, 
neg: 0.094, neu: 0.831, pos: 0.075, -0.1531, 
neg: 0.319, neu: 0.681, pos: 0.0, -0.8834, 
neg: 0.128, neu: 0.872, pos: 0.0, -0.296, 
neg: 0.172, neu: 0.828, pos: 0.0, -0.6597, 
neg: 0.265, neu: 0.735, pos: 0.0, -0.3818, 
neg: 0.059, neu: 0.791, pos: 0.15, 0.3182, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.128, neu: 0.872, pos: 0.0, -0.4215, 
neg: 0.0, neu: 0.78, pos: 0.22, 0.4767, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.14, neu: 0.86, pos: 0.0, -0.5267, 
neg: 0.168, neu: 0.832, pos: 0.0, -0.7717, 
neg: 0.32, neu: 0.68, pos: 0.0, -0.9144, 
neg: 0.0, neu: 0.924, pos: 0.076, 0.2263, 
neg: 0.153, neu: 0.847, pos: 0.0, -0.631, 
neg: 0.046, neu: 0.87, pos: 0.085, 0.2263, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.355, neu: 0.645, pos: 0.0, -0.5106, 
neg: 0.077, neu: 0.923, pos: 0.0, -0.1511, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.0, neu: 0.779, pos: 0.221, 0.6597, 
neg: 0.0, neu: 0.93, pos: 0.07, 0.4767, 
neg: 0.094, neu: 0.87, pos: 0.036, -0.5423, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.24, neu: 0.76, pos: 0.0, -0.743, 
neg: 0.123, neu: 0.877, pos: 0.0, -0.4215, 
neg: 0.121, neu: 0.879, pos: 0.0, -0.296, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.263, neu: 0.513, pos: 0.224, -0.4939, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.0, neu: 0.915, pos: 0.085, 0.3612, 
neg: 0.0, neu: 0.835, pos: 0.165, 0.7579, 
neg: 0.154, neu: 0.846, pos: 0.0, -0.2924, 
neg: 0.181, neu: 0.613, pos: 0.206, 0.2103, 
neg: 0.142, neu: 0.71, pos: 0.148, 0.0258, 
neg: 0.0, neu: 0.896, pos: 0.104, 0.296, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.107, neu: 0.812, pos: 0.081, -0.25, 
neg: 0.0, neu: 0.919, pos: 0.081, 0.3182, 
neg: 0.214, neu: 0.677, pos: 0.109, -0.4588, 
neg: 0.0, neu: 0.939, pos: 0.061, 0.0258, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.0, neu: 1.0, pos: 0.0, 0.0, 
neg: 0.054, neu: 0.879, pos: 0.068, 0.2732, 
